,FIPS_State,FIPS_County,NumAllAge,NumAllAge90%lb,NumAllAge90%ub,PercentAllAge,PercentAllAge90%lb,PercentAllAge90%ub,Num0-17_,Num0-17_90%lb,Num0-17_90%ub,Percent0-17_,Percent0-17_90%lb,Percent0-17_90%ub,NumRelCh5-17_,NumRelCh5-17_90%lb,NumRelCh5-17_90%ub,PercentRelCh5-17_,PercentRelCh5-17_90%lb,PercentRelCh5-17_90%ub,MedHouseInc,MedHouseInc90%lb,MedHouseInc90%ub,County_Name
148,48,297,1893,1452,2334,17.0,13.0,21.0,579,400,758,23.8,16.4,31.2,421,289,553,24.7,17.0,32.4,54031,45583,62479,Live Oak County
149,48,299,2384,1738,3030,10.9,7.9,13.9,643,416,870,20.3,13.1,27.5,498,327,669,21.5,14.1,28.9,60706,52358,69054,Llano County 
150,48,301,7,5,9,3.9,2.8,5.0,6,4,8,11.3,7.0,15.6,3,2,4,7.0,3.5,10.5,97491,81537,113445,Loving County 
151,48,303,47957,41923,53991,15.8,13.8,17.8,13380,9958,16802,18.4,13.7,23.1,8783,6184,11382,16.6,11.7,21.5,56477,52647,60307,Lubbock County 
152,48,305,860,650,1070,14.4,10.9,17.9,315,213,417,19.6,13.3,25.9,227,151,303,18.6,12.4,24.8,51003,43429,58577,Lynn County 
153,48,307,1243,907,1579,16.2,11.8,20.6,440,294,586,27.1,18.1,36.1,307,201,413,25.1,16.4,33.8,47617,41890,53344,McCulloch County 
154,48,309,42552,37147,47957,17.0,14.8,19.2,12772,10271,15273,20.7,16.6,24.8,8700,6879,10521,19.5,15.4,23.6,55148,49979,60317,McLennan County 
155,48,311,69,51,87,9.7,7.1,12.3,17,11,23,12.0,7.9,16.1,13,9,17,13.3,8.7,17.9,45927,44298,47556,McMullen County 
156,48,313,2069,1540,2598,17.4,12.9,21.9,658,441,875,21.6,14.5,28.7,474,313,635,21.2,14.0,28.4,58674,54537,62811,Madison County 
157,48,315,1957,1457,2457,20.0,14.9,25.1,549,370,728,31.1,21.0,41.2,388,253,523,28.9,18.8,39.0,42024,36550,47498,Marion County 
158,48,317,643,476,810,11.1,8.2,14.0,310,207,413,17.0,11.3,22.7,209,136,282,15.2,9.9,20.5,73367,62753,83981,Martin County 
159,48,319,424,297,551,9.8,6.9,12.7,173,115,231,20.1,13.4,26.8,125,82,168,18.7,12.2,25.2,63120,54704,71536,Mason County 
160,48,321,6286,4940,7632,17.3,13.6,21.0,2252,1555,2949,24.0,16.6,31.4,1584,1084,2084,23.4,16.0,30.8,52241,44268,60214,Matagorda County 
161,48,323,11439,8832,14046,20.0,15.4,24.6,4918,3362,6474,27.9,19.1,36.7,3550,2321,4779,28.3,18.5,38.1,41324,34987,47661,Maverick County 
162,48,325,5600,4122,7078,11.2,8.2,14.2,2012,1347,2677,17.2,11.5,22.9,1456,961,1951,16.7,11.0,22.4,62600,57089,68111,Medina County 
163,48,327,398,295,501,19.1,14.2,24.0,134,90,178,34.5,23.2,45.8,100,66,134,32.7,21.7,43.7,41477,35050,47904,Menard County 
164,48,329,17070,13899,20241,9.7,7.9,11.5,6615,5081,8149,13.1,10.1,16.1,4266,3030,5502,12.0,8.5,15.5,92117,80813,103421,Midland County 
165,48,331,4208,3410,5006,17.4,14.1,20.7,1338,947,1729,24.0,17.0,31.0,953,656,1250,22.4,15.4,29.4,49961,44553,55369,Milam County 
